timestamp,emg,front_left_sensor_1,front_left_sensor_2,front_right_sensor_1,front_right_sensor_2,back_left_sensor,back_right_sensor
1745907122.646296,125,784,0,897,897,0,0
1745907122.646355,119,781,0,897,897,0,0
1745907122.646413,102,782,0,897,897,0,0
1745907122.646466,91,783,0,897,897,0,0
1745907122.646521,133,784,0,897,897,0,0
1745907122.646577,129,788,0,898,898,0,0
1745907122.646633,120,789,0,898,898,0,0
1745907122.646688,119,789,0,898,898,0,0
1745907122.646744,136,785,0,897,897,0,0
1745907122.6467998,135,783,0,897,897,0,0
1745907122.6468558,128,782,0,897,897,0,0
1745907122.646913,166,784,0,897,897,0,0
1745907122.6469681,178,790,0,897,897,0,0
1745907122.6470232,146,791,0,897,897,0,0
1745907122.647079,159,792,0,897,897,0,0
1745907122.647134,120,793,0,897,897,0,0
1745907122.647189,154,793,0,897,897,0,0
1745907122.647244,156,794,0,896,896,0,0
1745907122.647299,128,794,0,896,896,0,0
1745907122.688433,84,794,0,895,895,0,0
1745907122.7412128,115,792,0,895,895,0,0
1745907122.79197,99,791,0,895,895,0,0
1745907122.844969,113,790,0,895,895,0,0
1745907122.896,132,786,0,895,895,0,0
1745907122.947712,149,787,0,894,894,0,0
1745907122.999517,142,785,0,894,894,0,0
1745907123.051014,144,785,0,895,895,0,0
1745907123.102539,137,790,0,895,895,0,0
1745907123.1545758,128,791,0,895,895,0,0
