timestamp,emg,front_left_sensor_1,front_left_sensor_2,front_right_sensor_1,front_right_sensor_2,back_left_sensor,back_right_sensor
1745907254.002741,106,635,416,0,0,189,0
1745907254.0030851,100,641,416,0,0,187,0
1745907254.003416,102,636,410,0,0,190,0
1745907254.003743,108,642,409,0,0,178,0
1745907254.004074,102,653,409,0,0,181,0
1745907254.004401,144,657,409,0,0,179,0
1745907254.004724,138,660,409,0,0,184,0
1745907254.0050502,201,666,409,0,0,184,0
1745907254.005376,214,668,409,0,0,179,0
1745907254.0057,233,672,408,0,0,184,0
1745907254.006023,203,674,405,0,0,182,0
1745907254.006347,270,677,405,0,0,185,0
1745907254.0066712,213,678,404,0,0,189,0
1745907254.0069928,164,679,404,0,0,178,0
1745907254.007146,149,681,404,0,0,185,0
1745907254.007301,120,682,403,0,0,185,0
1745907254.007453,189,682,404,0,0,192,0
1745907254.007604,160,681,402,0,0,179,0
1745907254.007756,197,680,404,0,0,185,0
1745907254.047627,191,680,404,0,0,179,0
1745907254.09951,171,680,405,0,0,175,0
1745907254.1513898,151,681,408,0,0,182,0
1745907254.202637,177,678,409,0,0,180,0
1745907254.254354,203,675,406,0,0,171,0
1745907254.306018,168,675,406,0,0,158,0
1745907254.3576808,122,672,406,0,0,164,0
1745907254.408884,116,666,403,0,0,176,0
1745907254.460684,129,665,405,0,0,176,0
1745907254.5111208,94,661,404,0,0,177,0
