timestamp,emg,front_left_sensor_1,front_left_sensor_2,front_right_sensor_1,front_right_sensor_2,back_left_sensor,back_right_sensor
1745907412.1356642,148,0,0,706,706,0,109
1745907412.136102,161,0,0,705,705,0,102
1745907412.136459,181,0,0,700,700,0,103
1745907412.136815,310,0,0,694,694,0,102
1745907412.137153,328,0,0,687,687,0,107
1745907412.1374998,328,0,0,682,682,0,106
1745907412.137824,266,0,0,684,684,0,104
1745907412.138175,251,0,0,686,686,0,100
1745907412.138516,237,0,0,687,687,0,67
1745907412.138848,220,0,0,688,688,0,68
1745907412.13917,200,0,0,691,691,0,74
1745907412.139492,228,0,0,695,695,0,76
1745907412.139803,200,0,0,697,697,0,81
1745907412.1401238,210,0,0,699,699,0,87
1745907412.1404731,207,0,0,701,701,0,82
1745907412.140778,198,0,0,702,702,0,94
1745907412.140955,235,0,0,702,702,0,90
1745907412.141133,201,0,0,702,702,0,95
1745907412.141355,217,0,0,702,702,0,89
1745907412.172482,160,0,0,702,702,0,96
1745907412.224101,158,0,0,700,700,0,90
1745907412.27557,197,0,0,697,697,0,88
1745907412.32725,162,0,0,697,697,0,90
1745907412.378825,148,0,0,694,694,0,94
1745907412.430475,175,0,0,692,692,0,83
1745907412.482303,210,0,0,691,691,0,79
1745907412.5337129,199,0,0,692,692,0,79
1745907412.585328,170,0,0,691,691,0,90
1745907412.636719,173,0,0,691,691,0,80
