timestamp,pressure_sensor_A0,pressure_sensor_A1,pressure_sensor_A2
1743883640.28452,237,802,891
1743883640.284972,238,798,908
1743883640.285376,237,807,887
1743883640.2857466,237,830,897
1743883640.2861142,237,793,888
1743883640.2864528,234,808,847
1743883640.2867825,233,802,851
1743883640.2871208,238,814,857
1743883640.2874198,237,798,887
1743883640.287727,234,783,894
1743883640.2880328,239,807,898
1743883640.2883155,237,803,877
1743883640.2885873,237,826,886
1743883640.288858,239,842,880
1743883640.2891226,239,830,893
1743883640.289369,238,828,900
1743883640.2896156,239,818,897
1743883640.2898612,238,830,890
1743883640.2901134,238,830,892
1743883640.2904005,239,838,896
1743883640.2906272,241,841,910
1743883640.2908552,240,836,907
1743883640.2910893,241,835,911
1743883640.2913148,240,827,919
1743883640.291555,238,832,903
1743883640.291769,237,806,906
1743883640.291984,239,832,900
1743883640.2921946,241,836,914
1743883640.2923985,240,824,900
1743883640.2925966,240,826,906
1743883640.2927947,240,820,915
1743883640.2929966,240,820,917
1743883640.2931902,237,805,890
1743883640.2933762,237,811,882
1743883640.2935615,237,832,883
1743883640.2937608,236,832,885
1743883640.293959,237,809,884
1743883640.2941732,239,811,893
1743883640.294358,237,821,884
1743883640.2945592,236,792,872
1743883640.2947505,239,811,917
1743883640.2949443,237,814,901
1743883640.295131,240,813,912
1743883640.29536,239,821,909
1743883640.295546,237,812,897
1743883640.29573,242,823,912
1743883640.295921,237,799,911
1743883640.296106,236,803,890
1743883640.2962923,238,786,895
1743883640.2964787,238,797,905
1743883640.2966654,239,807,908
1743883640.2968519,239,816,887
1743883640.3184276,240,816,911
1743883640.3571625,240,815,910
1743883640.3964946,240,804,912
1743883640.4353843,239,814,894
1743883640.474794,237,810,889
1743883640.5135307,238,806,905
1743883640.552718,239,814,916
1743883640.5921826,240,818,912
1743883640.6307538,240,798,894
1743883640.670382,240,818,901
1743883640.7092354,241,819,901
1743883640.7484162,240,811,901
1743883640.7871034,237,800,878
