timestamp,pressure_sensor_A0,pressure_sensor_A1,pressure_sensor_A2
1743883343.748586,836,88,71
1743883343.7488244,837,91,72
1743883343.7490919,843,90,72
1743883343.7493486,842,90,71
1743883343.7496018,824,88,69
1743883343.7498562,824,90,71
1743883343.7501,833,90,72
1743883343.7503338,853,91,72
1743883343.7505655,858,89,70
1743883343.7508001,847,91,71
1743883343.7510402,862,91,73
1743883343.751255,854,91,73
1743883343.7514691,862,91,72
1743883343.7516823,862,90,72
1743883343.7518904,868,93,72
1743883343.7520976,852,92,72
1743883343.7522995,842,90,72
1743883343.7525005,836,88,70
1743883343.7527013,843,90,71
1743883343.7529063,842,91,72
1743883343.7530925,851,89,71
1743883343.7532783,834,89,71
1743883343.753465,839,88,71
1743883343.7536504,850,92,72
1743883343.7538366,857,92,71
1743883343.7540307,862,91,72
1743883343.7542057,853,90,70
1743883343.75438,864,92,72
1743883343.754554,864,92,73
1743883343.7547305,852,92,72
1743883343.7549105,861,91,71
1743883343.7550867,868,91,71
1743883343.75525,867,93,73
1743883343.7554147,821,90,71
1743883343.7555783,807,90,69
1743883343.7557423,798,86,70
1743883343.75591,815,90,71
1743883343.7560737,820,90,71
1743883343.75623,829,91,71
1743883343.756384,828,89,71
1743883343.7565382,834,90,71
1743883343.7566938,844,91,72
1743883343.7568479,846,92,72
1743883343.7570128,835,89,71
1743883343.7571778,840,90,70
1743883343.7573416,846,91,72
1743883343.7575083,848,91,72
1743883343.7576733,852,91,71
1743883343.7578382,841,91,71
1743883343.7580118,837,90,71
1743883343.7581787,839,92,72
1743883343.7583468,857,92,72
1743883343.758513,862,91,71
1743883343.7586794,869,89,71
1743883343.7597334,871,92,72
1743883343.7972226,868,93,72
1743883343.8343582,877,92,74
1743883343.8711364,884,92,72
1743883343.9084158,886,92,73
1743883343.9453092,884,94,73
1743883343.9823372,880,94,72
1743883344.0192914,879,93,73
1743883344.056656,884,91,71
1743883344.0933921,872,92,73
1743883344.1306431,872,93,71
1743883344.167961,865,92,72
1743883344.2050588,869,91,72
1743883344.2421434,868,92,72
1743883344.2789996,854,92,72
