timestamp,pressure_sensor_A0,pressure_sensor_A1,pressure_sensor_A2
1743883561.8143759,215,793,142
1743883561.814509,217,803,144
1743883561.8146448,216,788,142
1743883561.8147748,214,780,141
1743883561.814916,216,780,141
1743883561.8150485,216,795,141
1743883561.815178,215,800,142
1743883561.8153079,216,799,142
1743883561.8154383,216,803,142
1743883561.8155687,214,803,143
1743883561.8157008,217,792,142
1743883561.815834,216,791,141
1743883561.8159924,215,788,141
1743883561.816129,215,754,140
1743883561.8162658,213,743,138
1743883561.8164012,212,733,138
1743883561.8165364,212,736,137
1743883561.8166723,212,764,140
1743883561.8168075,215,781,141
1743883561.8169503,215,791,141
1743883561.8170931,212,782,140
1743883561.8172348,215,779,141
1743883561.8173754,213,768,139
1743883561.8175178,211,773,139
1743883561.8176606,217,780,142
1743883561.817804,216,771,141
1743883561.8179507,212,784,140
1743883561.8180926,215,753,139
1743883561.8182342,213,763,140
1743883561.8183765,213,763,141
1743883561.8185186,217,784,142
1743883561.8186603,214,807,143
1743883561.8188033,217,820,145
1743883561.8189566,219,833,148
1743883561.819106,215,792,143
1743883561.819254,215,808,144
1743883561.8194041,218,822,146
1743883561.8195536,216,825,144
1743883561.8197033,216,831,147
1743883561.8198516,219,835,148
1743883561.8200035,218,815,147
1743883561.8201547,216,821,145
1743883561.8203042,218,832,147
1743883561.8204532,216,827,146
1743883561.820604,216,822,146
1743883561.8207552,217,831,146
1743883561.8209107,216,837,146
1743883561.821069,220,841,148
1743883561.821228,219,841,146
1743883561.8213916,215,842,146
1743883561.8215504,221,843,148
1743883561.8326404,217,828,146
1743883561.8715754,214,836,145
1743883561.910722,217,818,145
1743883561.9496856,219,833,147
1743883561.9886734,215,822,146
1743883562.027844,220,842,147
1743883562.066962,218,834,148
1743883562.1064093,216,837,148
1743883562.1454933,221,831,148
1743883562.1843688,218,831,147
1743883562.2234924,214,819,145
1743883562.2625077,219,826,146
1743883562.301411,219,832,148
1743883562.3411407,216,830,146
