timestamp,pressure_sensor_A0,pressure_sensor_A1,pressure_sensor_A2
1743883472.414495,202,113,915
1743883472.4147284,203,112,923
1743883472.4149938,199,110,925
1743883472.4152422,204,113,925
1743883472.4154925,203,111,928
1743883472.4157226,198,112,911
1743883472.4159627,202,114,910
1743883472.4161906,201,113,908
1743883472.4164193,201,112,912
1743883472.4166327,204,114,920
1743883472.4168448,200,112,913
1743883472.4170609,199,111,921
1743883472.4172654,204,114,914
1743883472.417463,202,112,920
1743883472.4176621,200,112,915
1743883472.4178615,206,112,921
1743883472.418062,202,112,913
1743883472.4182587,202,112,918
1743883472.4184444,204,113,919
1743883472.4186285,203,111,919
1743883472.4188137,201,115,918
1743883472.4190037,203,113,917
1743883472.4191892,202,113,920
1743883472.419373,204,114,920
1743883472.4195473,204,112,919
1743883472.4197228,202,113,923
1743883472.4199026,203,114,925
1743883472.4200766,203,114,925
1743883472.4202495,201,111,926
1743883472.4204245,204,115,924
1743883472.4205985,203,113,925
1743883472.420774,201,111,923
1743883472.4209578,205,114,923
1743883472.4211338,202,112,925
1743883472.4213088,200,111,925
1743883472.4214826,206,114,922
1743883472.4216573,202,114,921
1743883472.4218307,200,113,923
1743883472.422011,205,113,924
1743883472.422185,203,111,924
1743883472.4223611,199,111,903
1743883472.4225361,204,112,909
1743883472.4227111,202,112,918
1743883472.4228857,199,111,912
1743883472.4230673,203,115,916
1743883472.4232416,201,112,916
1743883472.4234176,201,113,919
1743883472.423594,203,113,923
1743883472.4237704,201,114,922
1743883472.423954,201,113,920
1743883472.4241295,203,115,915
1743883472.424307,203,111,920
1743883472.4552777,202,114,920
1743883472.4939167,202,114,925
1743883472.5333874,201,112,926
1743883472.5724266,203,114,926
1743883472.6115065,203,114,926
1743883472.6505861,201,111,929
1743883472.6897352,202,115,925
1743883472.7286417,202,113,928
1743883472.7681794,200,113,926
1743883472.807009,202,114,929
1743883472.8461738,202,112,930
1743883472.8847167,201,113,930
1743883472.9245112,204,114,923
