timestamp,pressure_sensor_A0,pressure_sensor_A1,pressure_sensor_A2
1743883238.420437,98,63,38
1743883238.4210804,100,64,38
1743883238.4216647,101,66,38
1743883238.4223228,101,62,37
1743883238.4225736,100,64,37
1743883238.4228063,99,63,38
1743883238.423067,100,63,37
1743883238.4232903,103,63,37
1743883238.4235072,106,63,38
1743883238.4237266,105,61,38
1743883238.4239547,105,63,37
1743883238.4241724,305,71,39
1743883238.4243722,473,86,47
1743883238.424585,621,504,396
1743883238.424801,775,638,699
1743883238.425024,870,744,884
1743883238.4252357,868,753,909
1743883238.4254348,903,756,949
1743883238.4256349,921,790,956
1743883238.4258332,921,784,963
1743883238.426044,930,811,967
1743883238.426243,912,813,968
1743883238.4264297,925,817,969
1743883238.4266155,914,827,967
1743883238.426802,921,838,968
1743883238.4269993,903,829,970
1743883238.4271867,923,836,968
1743883238.4273732,927,788,967
1743883238.4275622,909,784,968
1743883238.4277403,924,772,964
1743883238.4279263,924,799,964
1743883238.428105,921,798,964
1743883238.4282813,923,804,967
1743883238.4284575,929,779,965
1743883238.4286308,917,751,965
1743883238.4287996,919,783,964
1743883238.4289777,930,780,959
1743883238.4291456,939,817,969
1743883238.4293127,937,812,965
1743883238.4294848,940,816,962
1743883238.4296598,940,800,962
1743883238.4298363,946,814,961
1743883238.430033,941,811,964
1743883238.4302077,944,815,966
1743883238.4303832,931,818,964
1743883238.4305584,942,817,963
1743883238.4307353,933,824,968
1743883238.4309216,935,839,968
1743883238.4311025,933,832,971
1743883238.4312778,948,826,970
1743883238.431456,942,834,971
1743883238.4316328,938,846,971
1743883238.4472063,940,828,972
1743883238.4861245,945,832,973
1743883238.5255752,939,830,971
1743883238.5646071,933,843,970
1743883238.6035836,938,822,970
1743883238.642297,942,819,970
1743883238.68177,944,826,971
1743883238.7208226,943,844,972
1743883238.7598114,941,842,972
1743883238.7984397,942,836,972
1743883238.8378856,947,839,972
1743883238.8767912,946,830,970
1743883238.9163492,934,847,973
1743883238.9554214,938,847,972
